frame_id,west_in,east_in,north_in,south_in,pedestrian_count,total_flow
164,48,31,0,8,9,87
165,25,39,0,6,19,70
166,31,9,0,10,12,50
167,29,39,12,6,23,86
168,19,25,1,12,24,57
169,18,35,16,0,42,69
170,23,42,25,15,37,105
171,30,32,1,11,37,74
172,16,33,15,6,20,70
173,30,9,0,12,9,51
174,45,23,24,0,50,92
175,22,15,0,8,6,45
176,4,13,11,0,40,28
177,5,40,23,0,49,68
178,46,37,0,8,23,91
179,18,33,0,7,34,58
180,27,40,0,0,18,67
181,31,24,11,6,32,72
182,34,29,0,11,25,74
183,32,38,12,8,59,90
184,13,22,0,8,47,43
185,4,22,12,0,16,38
186,48,37,11,1,31,97
187,39,36,25,14,52,114
188,46,18,0,7,28,71
189,20,25,25,3,46,73
190,52,19,12,4,37,87
191,49,26,12,12,50,99
192,15,33,12,10,46,70
193,4,0,12,0,38,16
194,18,27,0,3,17,48
195,24,26,14,8,14,72
196,0,26,1,0,13,27
197,9,24,13,12,72,58
198,12,0,13,0,35,25
199,42,31,0,0,18,73
200,36,34,24,11,52,105
201,41,30,12,0,46,83
202,10,26,24,0,36,60
203,29,27,10,11,10,77
204,27,32,0,11,7,70
205,13,8,0,0,5,21
206,10,30,21,0,33,61
